Name,cluster
Реле проміжне 230V AC 3А УЕК РЕК78/4 RRP20-4-03-220A,9
"Диференційне реле 2-полюсне Hager CF263J A-63/0,3А",6
"Клема з’єднувальна з нажимним важелем Wago 221-415 для 5 гнучких проводів 0,14-4 кв.мм прозора",7
Наконечник УЕК мідний луджений 10/ 6 JG-10 UNP40-010-06-06,5
Наконечник УЕК мідний луджений 16/ 8 JG-16 UNP40-016-06-08,5
Наконечник УЕК мідний луджений 25/ 8 JG-25 UNP40-025-07-08,5
"ВВГнгд кабель вітчизняний 2* 1,5",24
"Лампа LED 230V MR16 Lezard GU5,3 5,0W/4200 442-MR16-05",3
"Клема з’єднувальна з нажимним важелем Wago 221-412 для 2 гнучких проводів 0,14-4 кв.мм прозора",7
"Клема з’єднувальна з важелем Wago 221-413 для 3 гнучких проводів 0,14-4 кв.мм прозора",7
Наконечник УЕК мідний луджений 35/ 8 JG-35 UNP40-035-08-08,5
Гільза мідна луджена 10,-1
Гільза мідна луджена 25,-1
Гільза мідна луджена 6,-1
Диференційний автомат 1-модульний 1-полюсний+N RESI9 Schneider 6kA AC R9D87616 16A/30mА,5
"Вимикач автоматичний 2-полюсний УЕК 4,5кА ВА 47- 29 C 63А MVA20-2-063-C",5
"Вимикач автоматичний 1-полюсний УЕК 4,5кА ВА47-29 C 63А MVA20-1-063-C-U",5
Реле імпульсне 230V DIN Hager EPN515 (1 нормально відкритий контакт + 1 нормально закритий контакт) 3500W,9
Контактор 230V Hager ESC227 25A 1нв+1нз,9
Клемник ввідно-розгалуджувальний 1 полюсний (35кв.мм) Hager K64 до щитів Univers 100А на полюс,11
Контактор 230V Hager ESC226 25A 2нз,9
Детектор скритої проводки E.Next e.tool.multitest.03 p0470022,15
Розетка 380V каучукова настінна IP44 Lezard 3P+N 32А 332-0100-0202 чорна,9
"OLFLEX HEAT 180 SiF провід силіконовий термостійкий 0,5",-1
Лампа свіча Іскра Е14 40W B36 прозора,1
Роз’єм модульний до реле ly4 10А E.Next e.control.p104s i.ptf.14a,14
Роз’єм модульний до реле ly4 10А E.Next e.control.p104s i.ptf.14a,14
Роз’єм модульний до реле ly4 10А E.Next e.control.p104s i.ptf.14a,14
Лампа комактна люмінісцентна 2G7 11W/840 DULUX S/Е Osram 4050300020181,-1
Вилка 2п Legrand 16А 50183 біла,7
"Вимикач автоматичний 1-полюсний E.Next 4,5кА s002012 40A e.mcb.stand.45.1.C40",16
Контактор 230V Hager ESC227 25A 1нв+1нз,9
Корпус пластиковий зовнішній з кришкою прозора IP31 УЕК КМПн 2/ 9-2 MKP42-N-09-31-02,12
Вимикач автоматичний 1-полюсний Hager 6kA MC110A C 10A,22
Корпус пластиковий зовнішній без кришки IP20 УЕК КМПн 1/2 MKP31-N-02-30-252,12
"Затискач проколюючий вітчизняний ЗПАм (магiстраль 10-95 / вiдгалудження 1,5-10)",-1
Патрон пластиковий підвісний E.Next e.lamp socket pendant.E27.pl.white Е27 з кабелем 15см та клемною колодкою білий,18
Адаптер Legrand 50385 американський стандарт,5
Імпульсно-запалювальний пристрій E.Next e.ignitor.3.wire.70.400 (ИЗУ)  l0410001,15
Світильник вбудований круглий LED D100 855lm Lezard 100-CCEL-4209 9W/4200K білий,3
Світильник вбудований круглий LED D100 855lm Lezard 100-CCEL-4209 9W/4200K білий,3
Лампа свіча Іскра Е14 230В 60W В36 прозора,1
Лампа розжарювання 75W E27 230V A55 Iskra прозора в манжеті,23
Лампа розжарювання 75W E27 230V A55 Iskra прозора в манжеті,23
Корпус щита пластиковий зовнішній IP65 ETI ECH 4G 1101060 прозора вертикальна дверка,12
Контактор 230V Hager ESC227 25A 1нв+1нз,9
Колодка із заземлюючим контактом та вимикачем Lezard Letitia 4 гнізда 721-0400-402,9
Патрон люстровий з гайкою E.Next e.lamp socket with nut.E27.pl.white Е27 s9100016 білий,18
Конектор 8р8с 5 категорії RJ45,12
Накладка резинова для конектора 8р8с RJ45,12
"Датчик руху інфрачервоний стельовий, що вбудовується E.Next e.sensor.pir.42.white(білий), 360°, IP20  s061011",-1
Роз’єм модульний до реле ly4 10А E.Next e.control.p104s i.ptf.14a,14
Реле проміжне 230V AC 10А E.Next e.control.p1046 i.ly4.230ac,9
