algorithm,dimension,n_clusters,silhouette,davies_bouldin,calinski_harabasz,cluster_count,noise_ratio,trustworthiness,knn_preservation,eps,min_samples,min_cluster_size,linkage
dbscan,128,,0.67210937,0.7525591382745257,2126.166,57,0.018,0.940986966905493,0.6085333333333333,0.5,5.0,,
dbscan,128,,0.45367318,1.504448356343756,71.863846,38,0.196,0.940986966905493,0.6085333333333333,0.5,10.0,,
dbscan,128,,0.6076995,0.7163595859593758,1546.2152,46,0.012,0.940986966905493,0.6085333333333333,0.7,5.0,,
dbscan,128,,0.53168356,1.5118287307803189,96.10206,35,0.121,0.940986966905493,0.6085333333333333,0.7,10.0,,
hdbscan,128,,0.49891746,1.4710662126819531,92.64518,34,0.155,0.940986966905493,0.6085333333333333,,,10.0,
hdbscan,128,,0.22233693,1.786454481841653,42.606514,17,0.374,0.940986966905493,0.6085333333333333,,,20.0,
hdbscan,128,,0.17882238,2.6653554209291124,103.06464,2,0.418,0.940986966905493,0.6085333333333333,,,50.0,
agglomerative,128,5.0,0.3137105,1.3259614222995126,249.61525,5,0.0,0.940986966905493,0.6085333333333333,,,,ward
agglomerative,128,5.0,0.54150754,0.32257359152465964,80.099014,5,0.0,0.940986966905493,0.6085333333333333,,,,average
agglomerative,128,10.0,0.41875115,0.8154647222865592,297.5227,10,0.0,0.940986966905493,0.6085333333333333,,,,ward
agglomerative,128,10.0,0.36311847,0.3928739299468842,82.348595,10,0.0,0.940986966905493,0.6085333333333333,,,,average
agglomerative,128,15.0,0.4751083,0.6525116716575142,408.9617,15,0.0,0.940986966905493,0.6085333333333333,,,,ward
agglomerative,128,15.0,0.5100087,0.36398084502308564,254.55768,15,0.0,0.940986966905493,0.6085333333333333,,,,average
kmeans,64,5.0,0.37380752,1.0230897777459778,248.99263,5,0.0,0.9488964858410099,0.6121333333333333,,,,
kmeans,64,10.0,0.40347338,0.7819390786427347,272.7116,10,0.0,0.9488964858410099,0.6121333333333333,,,,
kmeans,64,15.0,0.46741986,0.5823429670184911,501.5922,15,0.0,0.9488964858410099,0.6121333333333333,,,,
dbscan,64,,0.6476159,1.1081230373074848,319.9558,76,0.071,0.9488964858410099,0.6121333333333333,0.3,5.0,,
dbscan,64,,0.21188907,1.2032942257525636,49.13433,39,0.389,0.9488964858410099,0.6121333333333333,0.3,10.0,,
dbscan,64,,0.66506773,0.8125903496437558,1532.8904,57,0.023,0.9488964858410099,0.6121333333333333,0.5,5.0,,
dbscan,64,,0.48398188,1.5521718735380312,74.6282,40,0.188,0.9488964858410099,0.6121333333333333,0.5,10.0,,
