,hdbscan_d128_min_cluster_size-10,hdbscan_d128_min_cluster_size-20,hdbscan_d128_min_cluster_size-50,hdbscan_d16_min_cluster_size-10,hdbscan_d16_min_cluster_size-20,hdbscan_d16_min_cluster_size-50,hdbscan_d256_min_cluster_size-10,hdbscan_d256_min_cluster_size-20,hdbscan_d256_min_cluster_size-50,hdbscan_d2_min_cluster_size-10,hdbscan_d2_min_cluster_size-20,hdbscan_d2_min_cluster_size-50,hdbscan_d32_min_cluster_size-10,hdbscan_d32_min_cluster_size-20,hdbscan_d32_min_cluster_size-50,hdbscan_d4_min_cluster_size-10,hdbscan_d4_min_cluster_size-20,hdbscan_d4_min_cluster_size-50,hdbscan_d64_min_cluster_size-10,hdbscan_d64_min_cluster_size-20,hdbscan_d64_min_cluster_size-50,hdbscan_d8_min_cluster_size-10,hdbscan_d8_min_cluster_size-20,hdbscan_d8_min_cluster_size-50
hdbscan_d2_min_cluster_size-20,0.710516031614539,0.7905974323520039,0.3144697578407187,0.6886461491233479,0.8244867635555865,0.28100159840889416,0.7087646478671513,0.7637565885632972,0.33037561593786846,0.7283876538739876,1.0,0.28100159840889416,0.7123997043601841,0.7296868466009121,0.3639563886444922,0.6535105867417483,0.5926054534152705,0.18264436901850378,0.7270941181550966,0.771471865973938,0.4008482024395497,0.696305936383426,0.7621737830010002,0.18264436901850378
hdbscan_d2_min_cluster_size-50,0.17190448091178992,0.24177484162422844,0.5554626916539348,0.09284313680833742,0.2739665535277557,0.9583333333333333,0.09284313680833742,0.24587344460380706,0.484085530412819,0.1764673378090465,0.28100159840889416,1.0,0.09648558176252833,0.4538080215897726,0.6247528475699105,0.09455045029690734,0.65524631445082,0.7878787878787878,0.1305582419667734,0.170663028978558,0.38484547194604046,0.16780587793221133,0.389547204419219,0.7462121212121212
hdbscan_d32_min_cluster_size-10,0.8104273888961432,0.7689962975944492,0.14301938838683886,0.8164082672772441,0.6991072540257324,0.09648558176252833,0.8250703786128674,0.7324642032226275,0.1,0.8031636077499529,0.7123997043601841,0.09648558176252833,1.0,0.664914334106357,0.1599005372667078,0.8618282938793401,0.5123961820071546,0.09648558176252833,0.8202704299422879,0.714738770417888,0.22943999918835536,0.8159386279265194,0.7160915467677992,0.13674163837207315
hdbscan_d32_min_cluster_size-20,0.759009448897229,0.8441150308068469,0.6508726030021272,0.6815634443955012,0.6498309703340377,0.4538080215897726,0.7457552195957327,0.7904299930610463,0.6320497994784198,0.6571444328257932,0.7296868466009121,0.4538080215897726,0.664914334106357,1.0,0.5904455382000097,0.6196024591881271,0.7518874275789688,0.5063850356982369,0.6505786991520197,0.7860067364149829,0.33937470335797376,0.6630495373580771,0.6691563524285703,0.5480517023649036
hdbscan_d32_min_cluster_size-50,0.10660035817780521,0.2546599523582359,0.7949131128046143,0.10660035817780521,0.4601400816001672,0.6247528475699105,0.14301938838683884,0.2611164839335468,0.7357270323396421,0.15011977216672967,0.3639563886444922,0.6247528475699105,0.1599005372667078,0.5904455382000097,1.0,0.10660035817780521,0.7627700713964739,0.5377140195920616,0.1599005372667078,0.28232196334410303,0.5690544211839454,0.16814610366747157,0.4289205573567627,0.5377140195920616
hdbscan_d4_min_cluster_size-10,0.8339169146529963,0.7182423284239211,0.09534625892455924,0.8426445256960498,0.6335104582488897,0.09455045029690734,0.833830920567214,0.6946807396564192,0.1,0.7886275663419193,0.6535105867417483,0.09455045029690734,0.8618282938793401,0.6196024591881271,0.10660035817780521,1.0,0.47364857445554714,0.09455045029690734,0.8265100284479511,0.6618298397954143,0.20181052194711388,0.8249712999426153,0.6619828887308389,0.09622504486493763
hdbscan_d4_min_cluster_size-20,0.49992076462828516,0.5485332793498425,0.6383656473113981,0.4933269302222428,0.6290659945860563,0.65524631445082,0.48395782514407515,0.55557989418851,0.6189323936863109,0.5012750981172204,0.5926054534152705,0.65524631445082,0.5123961820071546,0.7518874275789688,0.7627700713964739,0.47364857445554714,1.0,0.6116323509955719,0.47364857445554714,0.5404994032952511,0.3050867680921036,0.4899785060741017,0.6682257222729698,0.6116323509955719
hdbscan_d4_min_cluster_size-50,0.13161333271052092,0.1648887223940012,0.5554626916539348,0.09284313680833742,0.18264436901850378,0.7878787878787878,0.09284313680833742,0.16064637330508158,0.484085530412819,0.13465523730869197,0.18264436901850378,0.7878787878787878,0.09648558176252833,0.5063850356982369,0.5377140195920616,0.09455045029690734,0.6116323509955719,1.0,0.09455045029690734,0.08745564695911838,0.341326057957116,0.12888093072413517,0.24424571407953233,0.9128787878787878
hdbscan_d64_min_cluster_size-10,0.8131489356545775,0.7418966738604595,0.15124795836205399,0.7965365320315501,0.6714737371508896,0.1305582419667734,0.8454488960811477,0.7240679659618793,0.15892556509887898,0.7938778592154594,0.7270941181550966,0.1305582419667734,0.8202704299422879,0.6505786991520197,0.1599005372667078,0.8265100284479511,0.47364857445554714,0.09455045029690734,1.0,0.7789771490655945,0.2054128656720302,0.7898403857848564,0.6877563360199825,0.09622504486493763
hdbscan_d64_min_cluster_size-20,0.7275527598241119,0.8084963405946903,0.2345228094876548,0.6959074069978399,0.8345411416015953,0.170663028978558,0.7514362659795533,0.7573285930700051,0.2831425505533233,0.7168077125488136,0.771471865973938,0.170663028978558,0.714738770417888,0.7860067364149829,0.28232196334410303,0.6618298397954143,0.5404994032952511,0.08745564695911838,0.7789771490655945,1.0,0.4582850473367066,0.7037730021153561,0.766216928463686,0.13309919341788223
hdbscan_d64_min_cluster_size-50,0.24204696759445707,0.35262091523579614,0.6267537694284724,0.23497887337062948,0.5150737138462276,0.38484547194604046,0.24235247458157858,0.32330765469977785,0.706408263273131,0.2054128656720302,0.4008482024395497,0.38484547194604046,0.22943999918835536,0.33937470335797376,0.5690544211839454,0.20181052194711388,0.3050867680921036,0.341326057957116,0.2054128656720302,0.4582850473367066,1.0,0.28118311912975286,0.45627383886407874,0.341326057957116
hdbscan_d8_min_cluster_size-10,0.8195925635950155,0.7350993322424226,0.15989598136134953,0.7509208283368323,0.7151949224835173,0.16780587793221133,0.7644148672790072,0.7084745387695751,0.16804138174397718,0.8031616095213221,0.696305936383426,0.16780587793221133,0.8159386279265194,0.6630495373580771,0.16814610366747157,0.8249712999426153,0.4899785060741017,0.12888093072413517,0.7898403857848564,0.7037730021153561,0.28118311912975286,1.0,0.7317707117333729,0.1740749392810899
hdbscan_d8_min_cluster_size-20,0.7451259175994643,0.7193866998267727,0.37618853406662256,0.6980775019251941,0.9180489162747497,0.389547204419219,0.731343520955983,0.7638988269815603,0.395032197198536,0.7050366578778754,0.7621737830010002,0.389547204419219,0.7160915467677992,0.6691563524285703,0.4289205573567627,0.6619828887308389,0.6682257222729698,0.24424571407953233,0.6877563360199825,0.766216928463686,0.45627383886407874,0.7317707117333729,1.0,0.24424571407953233
hdbscan_d8_min_cluster_size-50,0.1718693893200657,0.20840813638292566,0.5554626916539348,0.09128709291752768,0.2111405383693114,0.7462121212121212,0.09622504486493763,0.17680734126747566,0.484085530412819,0.17491129391823676,0.18264436901850378,0.7462121212121212,0.13674163837207315,0.5480517023649036,0.5377140195920616,0.09622504486493763,0.6116323509955719,0.9128787878787878,0.09622504486493763,0.13309919341788223,0.341326057957116,0.1740749392810899,0.24424571407953233,1.0
