,kmeans_d128_n_clusters-10,kmeans_d128_n_clusters-15,kmeans_d128_n_clusters-5,kmeans_d16_n_clusters-10,kmeans_d16_n_clusters-15,kmeans_d16_n_clusters-5,kmeans_d256_n_clusters-10,kmeans_d256_n_clusters-15,kmeans_d256_n_clusters-5,kmeans_d2_n_clusters-10,kmeans_d2_n_clusters-15,kmeans_d2_n_clusters-5,kmeans_d32_n_clusters-10,kmeans_d32_n_clusters-15,kmeans_d32_n_clusters-5,kmeans_d4_n_clusters-10,kmeans_d4_n_clusters-15,kmeans_d4_n_clusters-5,kmeans_d64_n_clusters-10,kmeans_d64_n_clusters-15,kmeans_d64_n_clusters-5,kmeans_d8_n_clusters-10,kmeans_d8_n_clusters-15,kmeans_d8_n_clusters-5
kmeans_d2_n_clusters-15,0.5109866094866415,0.5107670905225992,0.4186745335319789,0.602741421812321,0.5808623860918282,0.512267949016206,0.6064761173408073,0.5756289909249975,0.5119952612077292,0.7064293087865572,1.0,0.5371920897866472,0.6056651870794736,0.5547845567464781,0.456311788065401,0.5139309988321175,0.5432729104124215,0.3316343534105819,0.4990804199175741,0.5064534261995767,0.40540077523358536,0.5972039614505384,0.5475997871853008,0.4824145943514984
kmeans_d2_n_clusters-5,0.5788539561310679,0.4418105864546799,0.2962606748273561,0.5405497614970415,0.49723351098178237,0.4051072841749557,0.5542790736516634,0.49004139655240253,0.4607325687724272,0.710770013085354,0.5371920897866472,1.0,0.44192161095130994,0.5343741478878148,0.42047133336397124,0.5322791379329673,0.495476247079475,0.49270137290963945,0.5106546961277135,0.4687606375358035,0.4546653346653347,0.5590886987866696,0.5316295406783269,0.36929295937798096
kmeans_d32_n_clusters-10,0.6029453550713859,0.7250258812678522,0.49150408648013866,0.6960411215106139,0.6694258945693928,0.554337821052622,0.5944951396025769,0.720580790261544,0.4936522992720622,0.5722456129006959,0.6056651870794736,0.44192161095130994,1.0,0.862351873815561,0.3889323984934516,0.5427530238463855,0.6686940817533067,0.501264910333717,0.7159648999153472,0.697536746574382,0.5629817596012279,0.5885874378647722,0.7168903943703575,0.6700533075482034
kmeans_d32_n_clusters-15,0.7862631994833619,0.6527286249087934,0.5284735741406584,0.8070411057839119,0.6997674592578029,0.5507892444007105,0.6886296249755323,0.7127160521510753,0.5948796730813796,0.6340756902667221,0.5547845567464781,0.5343741478878148,0.862351873815561,1.0,0.3680553335304107,0.724175616533219,0.6193915198910963,0.6545759960745022,0.7963432347316177,0.67519345290155,0.6607875794152396,0.7446087578307002,0.6268948288954236,0.6206574199392729
kmeans_d32_n_clusters-5,0.5434673312592645,0.6006632918507331,0.3200170462191494,0.5190512352559056,0.6870482298322532,0.3164326239738024,0.43478854294255687,0.6034353847015343,0.28060129257292177,0.5860574709022689,0.456311788065401,0.42047133336397124,0.3889323984934516,0.3680553335304107,1.0,0.4612532523158204,0.6439601578614587,0.479306666733998,0.3924686687410677,0.6082720959366875,0.42227795997934825,0.6498831380647692,0.692680845481936,0.5204483474585337
kmeans_d4_n_clusters-10,0.550016471683608,0.6474736558921768,0.47470975406683014,0.5858020760507484,0.7007773538853044,0.537962617811147,0.547623376808023,0.6994026211556068,0.6942620534163788,0.519631716738101,0.5139309988321175,0.5322791379329673,0.5427530238463855,0.724175616533219,0.4612532523158204,1.0,0.8557541237096935,0.7188456890331862,0.5858050160860958,0.6940181806251807,0.5820870321347777,0.6117280911976477,0.632849608336898,0.7354469066393156
kmeans_d4_n_clusters-15,0.6420235602012878,0.6853502426106105,0.45388993364328656,0.7614645673422114,0.6957917956024168,0.5829173405899418,0.7429283821812624,0.7256820972749723,0.6315994200901074,0.6341071989292838,0.5432729104124215,0.495476247079475,0.6686940817533067,0.6193915198910963,0.6439601578614587,0.8557541237096935,1.0,0.6083384222587224,0.6539964497708552,0.7694285221343935,0.6874158078800894,0.7584774598203551,0.7063243420568972,0.6114404996334966
kmeans_d4_n_clusters-5,0.5458869744286579,0.46471103871972597,0.3777275905573919,0.5658213369874641,0.6324680043086084,0.2974232022479059,0.4906965844227461,0.5329333461489634,0.32396996018081775,0.5186065201661629,0.3316343534105819,0.49270137290963945,0.501264910333717,0.6545759960745022,0.479306666733998,0.7188456890331862,0.6083384222587224,1.0,0.6048217422882638,0.6223837463747278,0.5031008877073326,0.5875396309464938,0.4904979546024483,0.5115584407577289
kmeans_d64_n_clusters-10,0.6097712522786043,0.6838080630569684,0.7486954855937143,0.682342495195591,0.6330307551056839,0.656371771832551,0.5685180554358499,0.7442377348899415,0.5694813279162243,0.5111243624821539,0.4990804199175741,0.5106546961277135,0.7159648999153472,0.7963432347316177,0.3924686687410677,0.5858050160860958,0.6539964497708552,0.6048217422882638,1.0,0.8240007433990666,0.7789257969326467,0.5772809470130632,0.6864656434651676,0.6346946731834419
kmeans_d64_n_clusters-15,0.6571645905850556,0.7532858549982243,0.5739450251884128,0.6623960885974983,0.6189408252116777,0.6287151415801713,0.5865604522439947,0.7145931397078751,0.5844366825802491,0.5608126626992449,0.5064534261995767,0.4687606375358035,0.697536746574382,0.67519345290155,0.6082720959366875,0.6940181806251807,0.7694285221343935,0.6223837463747278,0.8240007433990666,1.0,0.7214824305625743,0.6290500559828127,0.6425777629111616,0.6157900750832506
