,dbscan_d128_eps-0.3_min_samples-10,dbscan_d128_eps-0.3_min_samples-5,dbscan_d128_eps-0.5_min_samples-10,dbscan_d128_eps-0.5_min_samples-5,dbscan_d128_eps-0.7_min_samples-10,dbscan_d128_eps-0.7_min_samples-5,dbscan_d16_eps-0.3_min_samples-10,dbscan_d16_eps-0.3_min_samples-5,dbscan_d16_eps-0.5_min_samples-10,dbscan_d16_eps-0.5_min_samples-5,dbscan_d16_eps-0.7_min_samples-10,dbscan_d16_eps-0.7_min_samples-5,dbscan_d256_eps-0.3_min_samples-10,dbscan_d256_eps-0.3_min_samples-5,dbscan_d256_eps-0.5_min_samples-10,dbscan_d256_eps-0.5_min_samples-5,dbscan_d256_eps-0.7_min_samples-10,dbscan_d256_eps-0.7_min_samples-5,dbscan_d2_eps-0.3_min_samples-10,dbscan_d2_eps-0.3_min_samples-5,dbscan_d2_eps-0.5_min_samples-10,dbscan_d2_eps-0.5_min_samples-5,dbscan_d2_eps-0.7_min_samples-10,dbscan_d2_eps-0.7_min_samples-5,dbscan_d32_eps-0.3_min_samples-10,dbscan_d32_eps-0.3_min_samples-5,dbscan_d32_eps-0.5_min_samples-10,dbscan_d32_eps-0.5_min_samples-5,dbscan_d32_eps-0.7_min_samples-10,dbscan_d32_eps-0.7_min_samples-5,dbscan_d4_eps-0.3_min_samples-10,dbscan_d4_eps-0.3_min_samples-5,dbscan_d4_eps-0.5_min_samples-10,dbscan_d4_eps-0.5_min_samples-5,dbscan_d4_eps-0.7_min_samples-10,dbscan_d4_eps-0.7_min_samples-5,dbscan_d64_eps-0.3_min_samples-10,dbscan_d64_eps-0.3_min_samples-5,dbscan_d64_eps-0.5_min_samples-10,dbscan_d64_eps-0.5_min_samples-5,dbscan_d64_eps-0.7_min_samples-10,dbscan_d64_eps-0.7_min_samples-5,dbscan_d8_eps-0.3_min_samples-10,dbscan_d8_eps-0.3_min_samples-5,dbscan_d8_eps-0.5_min_samples-10,dbscan_d8_eps-0.5_min_samples-5,dbscan_d8_eps-0.7_min_samples-10,dbscan_d8_eps-0.7_min_samples-5
dbscan_d16_eps-0.7_min_samples-10,0.5818773035384226,0.6659526239638374,0.7838387613352316,0.8022332426702813,0.9045853225240781,0.8379751074514586,0.6757132601631988,0.6765439231072221,0.829034185883139,0.7942482406641568,1.0,0.890837923934971,0.6679973425199963,0.6915158562284015,0.8071549313114873,0.822565640470569,0.9132488994751542,0.8746893918218528,0.6847938016058301,0.7041420133892955,0.7953035401196881,0.7374901106551071,0.7149985475068622,0.6983271067516889,0.6525812881681149,0.6829500405784187,0.8000734364940646,0.8373667132800366,0.9005284825061995,0.8565187237253625,0.6096527465841411,0.6640237672027394,0.8237524200527229,0.7703131752482312,0.8655467644004984,0.8094559443975058,0.6651165308590251,0.6966540684682695,0.7919525784501407,0.8024940703382861,0.8854061244714456,0.8171561378709824,0.6232126982949526,0.6947811607697221,0.7620173945648674,0.7817111577620036,0.8461957636307581,0.8144424631217578
dbscan_d16_eps-0.7_min_samples-5,0.4555743174181564,0.7792927705631407,0.5819895658336783,0.8140084728566668,0.7244139926268566,0.8529979330430894,0.4627010818422376,0.7965328444859725,0.5865067440064844,0.9052885993920866,0.890837923934971,1.0,0.5499905239909856,0.8049156833552515,0.5870491702854521,0.8044601331662954,0.7747776731001431,0.8270111880535982,0.4878528772948247,0.8079093751579305,0.6965922504005877,0.8047641431848903,0.7243060526410213,0.7995761654249695,0.4890179872920747,0.7961415585334904,0.6027132379843466,0.8644156016934073,0.749635961732887,0.7918505667267375,0.46550169391923135,0.7850979783070541,0.562316921756362,0.8636330470163178,0.7622391955417795,0.8719741154427135,0.47383457140136814,0.7967214772011328,0.5870697271690547,0.81237630638811,0.7327117492493569,0.8248168323451189,0.4782502138432172,0.8021778290662166,0.5634046534236912,0.8194790550522902,0.7714307724110564,0.8873954801948506
dbscan_d256_eps-0.3_min_samples-10,0.8038453204087666,0.8313513731014539,0.7420373044101418,0.7322938577168168,0.7189326915719969,0.6180957708870425,0.8958507490316028,0.8159427451446626,0.7786663005761301,0.6792237701838565,0.6679973425199963,0.5499905239909856,1.0,0.7967109905723179,0.7993727800102157,0.7299227940615445,0.6710715840503179,0.6156829946354694,0.8610790029912112,0.8014576971976828,0.6518845986190278,0.547989640258789,0.5668723235300326,0.47806030703401475,0.8212916174068567,0.7829331731455694,0.762104841794569,0.6869915279982729,0.6640928977805709,0.6211517413122747,0.8513929421464178,0.7514251763876688,0.7444270296638776,0.6895576102360952,0.6716296621032656,0.582032569993432,0.8471777819474103,0.7679294800054061,0.8107649032165998,0.7293054687849776,0.6245283230387225,0.5802119073885925,0.8476498556323074,0.8129251207382112,0.7307623366489346,0.7000873166235599,0.665507427867342,0.5522687755935963
dbscan_d256_eps-0.3_min_samples-5,0.6534008566118963,0.877814541959731,0.7876126486524665,0.8480585487934987,0.7433388932398016,0.8094973653270666,0.7541654759810182,0.9240118831496226,0.8176233851544672,0.8734975690899186,0.6915158562284015,0.8049156833552515,0.7967109905723179,1.0,0.7936982004417175,0.8411106302572002,0.7301809382583029,0.8137608412442784,0.7868046831277892,0.8413914913230999,0.7471872207597561,0.8011895055032867,0.6511543826304718,0.7349322539377366,0.7157536839861474,0.8655818250696992,0.8110953216614746,0.8539597072665935,0.7295418607816561,0.8194297604299996,0.7636323812796268,0.8819689661189045,0.7930866890567901,0.8526358132116476,0.7253682993331264,0.7863513611896634,0.7360257736428227,0.872105133770574,0.758367035314184,0.8062226728631111,0.7039610892531963,0.7852599630439475,0.6948893208240922,0.8856871091232132,0.8184243452374598,0.8538340808740772,0.6911948285052337,0.7760496497483852
dbscan_d256_eps-0.5_min_samples-10,0.6674149013637257,0.7640494180210895,0.832827616209136,0.8465236709241085,0.8595923877983054,0.683241039006405,0.712440095334034,0.7880311773093471,0.8587306020408934,0.7386424111103554,0.8071549313114873,0.5870491702854521,0.7993727800102157,0.7936982004417175,1.0,0.8210618322274252,0.8854881475152335,0.6703660581993215,0.728051509415371,0.7670108043713708,0.7392797564840836,0.6389493082450483,0.6991255676400286,0.5212023190457796,0.691431193509148,0.7643352102816865,0.9073020755765976,0.7470861787179397,0.8531181292696316,0.6754817539353178,0.7289464962917505,0.7596526350544339,0.8449238304869553,0.7784453907626213,0.8370528148801837,0.6042516370520596,0.7115421665531878,0.7886074913152767,0.8980788576365345,0.8185908766577229,0.796779910269438,0.6496540141246746,0.6865302273335838,0.7587972343469152,0.7837113863842968,0.7897438471292277,0.7847280605848904,0.5536016897356524
dbscan_d256_eps-0.5_min_samples-5,0.6005644457656403,0.7945483836354197,0.7670217544589361,0.8765743685064395,0.8524541591952652,0.8886423928201922,0.6209482291002055,0.8378975778191747,0.7944172432926349,0.8329314933865708,0.822565640470569,0.8044601331662954,0.7299227940615445,0.8411106302572002,0.8210618322274252,1.0,0.86157843860431,0.9427647166009594,0.6603673716699096,0.8007791601678086,0.6982475687083172,0.7207837277465872,0.690045671796182,0.7738539652715837,0.602144428663438,0.8124468247090928,0.8231418950565551,0.8688328722237229,0.8088851681084303,0.82355579149977,0.6338826265681833,0.8090061385771693,0.7265640981008098,0.879989034979449,0.8497374157779962,0.8802428709599047,0.6287135538579168,0.8118573279045321,0.7761584839857665,0.8636699770390844,0.7766610377710792,0.8438342968557812,0.6078466737111837,0.8111069577375151,0.7790844330965678,0.8455667717412017,0.8133882369354591,0.8325159245274892
dbscan_d256_eps-0.7_min_samples-10,0.611992683598402,0.7049788255068994,0.8248446221883888,0.8544811601749904,0.9411819815637524,0.8701411731093376,0.6806888578073393,0.716132871375395,0.8466671303163373,0.8234873363507661,0.9132488994751542,0.7747776731001431,0.6710715840503179,0.7301809382583029,0.8854881475152335,0.86157843860431,1.0,0.9186511404821206,0.7181129962071346,0.7337353307220756,0.8249034476379682,0.7652011464788153,0.738593776177405,0.6509140679151699,0.6472320914687885,0.7014133536688592,0.8285554265932513,0.8739231318809556,0.9313702558598411,0.8581474964583822,0.6277140386487354,0.6939083540873405,0.8633583587652348,0.8104637112594378,0.8168559036810978,0.7580813953371353,0.69423324635593,0.7323692868774444,0.8609325676308892,0.8538743689799355,0.9020609818831754,0.8316617096605976,0.6248348815103941,0.7182789205372241,0.7614979648045928,0.813499875134154,0.8172943180735287,0.7408173380420213
dbscan_d256_eps-0.7_min_samples-5,0.5393499119492361,0.7899819893475236,0.6796593911284535,0.9040883863372734,0.8132734296600077,0.8734230758924099,0.525877886359625,0.8078008095793289,0.6814393774068941,0.8682009472176219,0.8746893918218528,0.8270111880535982,0.6156829946354694,0.8137608412442784,0.6703660581993215,0.9427647166009594,0.9186511404821206,1.0,0.5832094669799354,0.7938011095986622,0.711508301716838,0.7763834324915831,0.7169892636843913,0.7933361668996269,0.5272518456680088,0.7882104668648094,0.7011301206941704,0.896202891626066,0.8358388142244598,0.8421922429629289,0.5364062863034293,0.7828552378744469,0.6375213660233717,0.8735133932683438,0.7856133978528845,0.8723674687699827,0.5542863208683722,0.7937658208454584,0.6540742145835745,0.8652455002684359,0.8088293937002125,0.844439723802317,0.534176253352393,0.8019349764663802,0.6549969138851458,0.831843447829467,0.806653279150026,0.849169814705188
dbscan_d2_eps-0.3_min_samples-10,0.7748217343453321,0.8339537267324217,0.7480871240209096,0.7025555928341835,0.7015718519837012,0.5539755573284605,0.8327541384430116,0.8192352270202132,0.7949442872981345,0.6805727321481095,0.6847938016058301,0.4878528772948247,0.8610790029912112,0.7868046831277892,0.728051509415371,0.6603673716699096,0.7181129962071346,0.5832094669799354,1.0,0.875961606220035,0.7352930026249395,0.5755783837490911,0.6745020981266191,0.5023461898770952,0.8088925746421358,0.7892423719795965,0.7619037791690808,0.6344244857449077,0.7339941698892973,0.5960640019089458,0.8228942388134111,0.7847877256628412,0.7248155552078158,0.6433686128498494,0.6975922194219698,0.5177659894833494,0.8165987605653101,0.8189772575084833,0.7354915697662567,0.7068767886226979,0.7205435569195702,0.5972342875406312,0.8073166720273038,0.8088954163217317,0.7836834068995628,0.7090223518818428,0.7079692700699881,0.4856999598425418
dbscan_d2_eps-0.3_min_samples-5,0.7167701477991518,0.8563207363363435,0.7597801152840035,0.83244667359003,0.7243249592874527,0.7898116657239064,0.7871198501443775,0.8861097530570963,0.8167608799056533,0.8647336693125648,0.7041420133892955,0.8079093751579305,0.8014576971976828,0.8413914913230999,0.7670108043713708,0.8007791601678086,0.7337353307220756,0.7938011095986622,0.875961606220035,1.0,0.7959667757251002,0.8203103966450942,0.6740374027170779,0.7512343304406445,0.7230057288786915,0.8911859963075474,0.7987522801808808,0.8695604414629717,0.7509012838483522,0.8269784851243401,0.7710997360243422,0.8869353783788589,0.7580672484839521,0.8313232391707354,0.7149698400734925,0.7724527594510529,0.7900673501037969,0.914960374346255,0.781190718352869,0.8092072770938845,0.7212475584456082,0.794323502878828,0.7305590878484992,0.9058549021321781,0.796398431606039,0.8480696746925281,0.7047985085003131,0.7854198488844749
dbscan_d2_eps-0.5_min_samples-10,0.5791412697898232,0.7317040263966244,0.7267572079960907,0.7471852169196992,0.7555103642196519,0.7441457444684519,0.6470784736883316,0.7513585229729727,0.7450160310755731,0.8014508969276636,0.7953035401196881,0.6965922504005877,0.6518845986190278,0.7471872207597561,0.7392797564840836,0.6982475687083172,0.8249034476379682,0.711508301716838,0.7352930026249395,0.7959667757251002,1.0,0.8245933971035089,0.8273853626338605,0.6491059128629413,0.5965974666642806,0.7353561264219239,0.7313846021692594,0.805611206225233,0.8466643759338082,0.7488487053085644,0.5911069589331487,0.7359645697017403,0.7521045016136703,0.7563806341255432,0.771712624351404,0.6782014255955503,0.6463562855723168,0.7679347902620937,0.7106672264386836,0.7458098634006958,0.8164557840061546,0.7763864721498196,0.5675543745630659,0.7533765085722556,0.7127101994438058,0.7698436651633636,0.740654027538379,0.6541515058266671
dbscan_d2_eps-0.5_min_samples-5,0.5169555757487154,0.784077087138839,0.648457216952906,0.7782538794295074,0.715169469837531,0.8230747468444536,0.5062192621674428,0.7850395775474704,0.6518385270936115,0.8580454826977209,0.7374901106551071,0.8047641431848903,0.547989640258789,0.8011895055032867,0.6389493082450483,0.7207837277465872,0.7652011464788153,0.7763834324915831,0.5755783837490911,0.8203103966450942,0.8245933971035089,1.0,0.8428724788354823,0.8861758299971283,0.5129184144142506,0.7850118092443336,0.6523775556301966,0.8228226355488458,0.7844649396600657,0.8043844800356079,0.5238143973186498,0.7845160375356789,0.6267155412227962,0.7890704601738877,0.717814691390558,0.7974209817356791,0.5201949621931216,0.8019982022695985,0.6118358567302711,0.7672572314490356,0.8011455041741652,0.8511016118639033,0.5005321224981925,0.7971572117157263,0.6585409862219745,0.8114366750797637,0.7214052510444013,0.781669699759882
