algorithm,dimension,filename,clusters,linkage,n_clusters,n_noise,noise_ratio,cluster_size_mean,cluster_size_std,cluster_size_min,cluster_size_max,normalized_entropy,eps,samples,size
hdbscan,64,hdbscan_d64_min_cluster_size-20.csv,,,19,265,0.265,38.68421052631579,20.8141315018292,21,103,0.9601070019661779,,,20.0
hdbscan,64,hdbscan_d64_min_cluster_size-50.csv,,,3,576,0.576,141.33333333333334,63.40609855000805,85,210,0.9395498884881062,,,50.0
hdbscan,8,hdbscan_d8_min_cluster_size-10.csv,,,35,181,0.181,23.4,11.864926067541901,11,60,0.9686661089002149,,,10.0
hdbscan,8,hdbscan_d8_min_cluster_size-20.csv,,,15,240,0.24,50.666666666666664,46.582747674996384,21,171,0.8947550658327555,,,20.0
hdbscan,8,hdbscan_d8_min_cluster_size-50.csv,,,2,202,0.202,399.0,226.27416997969522,239,559,0.8806773078680322,,,50.0
kmeans,128,kmeans_d128_n_clusters-10.csv,10.0,,10,0,0.0,100.0,129.0693181545827,7,345,0.7099224163567748,,,
kmeans,128,kmeans_d128_n_clusters-15.csv,15.0,,15,0,0.0,66.66666666666667,68.10356259473684,7,194,0.8189080986200991,,,
kmeans,128,kmeans_d128_n_clusters-5.csv,5.0,,5,0,0.0,200.0,278.6646730391206,14,692,0.6102452905763807,,,
kmeans,16,kmeans_d16_n_clusters-10.csv,10.0,,10,0,0.0,100.0,125.38651354024394,8,365,0.7241154304419251,,,
kmeans,16,kmeans_d16_n_clusters-15.csv,15.0,,15,0,0.0,66.66666666666667,72.51173960782062,7,278,0.8259689162133477,,,
kmeans,16,kmeans_d16_n_clusters-5.csv,5.0,,5,0,0.0,200.0,275.81424908804115,12,659,0.5638680016536801,,,
kmeans,256,kmeans_d256_n_clusters-10.csv,10.0,,10,0,0.0,100.0,108.01543099637817,8,300,0.770942658185732,,,
kmeans,256,kmeans_d256_n_clusters-15.csv,15.0,,15,0,0.0,66.66666666666667,79.26057087378373,7,271,0.7959692280252532,,,
kmeans,256,kmeans_d256_n_clusters-5.csv,5.0,,5,0,0.0,200.0,276.24264696096435,8,646,0.5400597404421363,,,
kmeans,2,kmeans_d2_n_clusters-10.csv,10.0,,10,0,0.0,100.0,106.75829397912527,14,304,0.7935512277683472,,,
kmeans,2,kmeans_d2_n_clusters-15.csv,15.0,,15,0,0.0,66.66666666666667,53.51857710401217,12,169,0.8905914047904453,,,
kmeans,2,kmeans_d2_n_clusters-5.csv,5.0,,5,0,0.0,200.0,142.3147919226951,32,343,0.8470106697152302,,,
kmeans,32,kmeans_d32_n_clusters-10.csv,10.0,,10,0,0.0,100.0,117.318180839781,7,342,0.7407148543961104,,,
kmeans,32,kmeans_d32_n_clusters-15.csv,15.0,,15,0,0.0,66.66666666666667,83.00143429627042,7,304,0.7918635938934309,,,
kmeans,32,kmeans_d32_n_clusters-5.csv,5.0,,5,0,0.0,200.0,173.3176274935703,7,451,0.785810599413548,,,
kmeans,4,kmeans_d4_n_clusters-10.csv,10.0,,10,0,0.0,100.0,121.07573387484932,8,397,0.7654583094921293,,,
kmeans,4,kmeans_d4_n_clusters-15.csv,15.0,,15,0,0.0,66.66666666666667,83.06337224989007,6,307,0.7817920463535935,,,
kmeans,4,kmeans_d4_n_clusters-5.csv,5.0,,5,0,0.0,200.0,139.529566759164,18,338,0.8464562895081131,,,
kmeans,64,kmeans_d64_n_clusters-10.csv,10.0,,10,0,0.0,100.0,131.75903932726757,7,429,0.7316288377462457,,,
kmeans,64,kmeans_d64_n_clusters-15.csv,15.0,,15,0,0.0,66.66666666666667,79.16949869621205,6,252,0.7881746088241048,,,
kmeans,64,kmeans_d64_n_clusters-5.csv,5.0,,5,0,0.0,200.0,177.7118454127355,22,456,0.7812155349314843,,,
kmeans,8,kmeans_d8_n_clusters-10.csv,10.0,,10,0,0.0,100.0,122.92635555034116,8,358,0.7390549071458292,,,
kmeans,8,kmeans_d8_n_clusters-15.csv,15.0,,15,0,0.0,66.66666666666667,79.03224176306298,6,260,0.786296350237596,,,
kmeans,8,kmeans_d8_n_clusters-5.csv,5.0,,5,0,0.0,200.0,146.34718992860778,20,384,0.8466412477945898,,,
